image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.894351,bus,van,False
drive_022,2,5,0.85127,truck,bus,False
drive_022,3,4,0.863684,van,car,False
drive_022,4,1,0.92031,car,car,True
drive_022,5,3,0.801638,car,car,True
drive_033,1,1,0.982151,bus,van,False
drive_033,2,2,0.83968,truck,bus,False
drive_033,4,9,0.886631,car,car,True
drive_033,5,11,0.880131,car,car,True
drive_033,6,12,0.963381,bus,van,False
drive_033,7,8,0.920306,car,car,True
drive_033,8,7,0.893551,car,car,True
drive_033,9,10,0.831164,car,car,True
drive_033,10,6,0.806692,car,car,True
drive_033,11,3,0.850966,car,car,True
drive_033,12,4,0.726777,car,car,True
drive_033,13,5,0.856613,car,car,True
drive_038,1,3,0.954976,car,car,True
drive_038,2,4,0.914247,car,car,True
drive_038,3,2,0.932778,car,car,True
drive_038,4,1,0.945712,car,car,True
drive_038,5,5,0.879666,truck,bus,False
drive_038,6,9,0.86558,truck,bus,False
drive_038,7,15,0.913213,van,truck,False
drive_038,9,8,0.916825,car,car,True
drive_038,10,10,0.895466,car,car,True
drive_038,11,17,0.94258,car,car,True
drive_038,12,16,0.767555,car,car,True
drive_038,13,14,0.827793,car,car,True
drive_038,14,13,0.866493,car,car,True
drive_038,15,7,0.854051,car,car,True
drive_038,16,11,0.916975,car,car,True
drive_038,17,6,0.849927,car,car,True
drive_008,1,16,0.932208,car,car,True
drive_008,2,11,0.93256,car,car,True
drive_008,3,12,0.876526,van,truck,False
drive_008,4,4,0.916829,car,car,True
drive_008,5,6,0.893522,car,car,True
drive_008,6,2,0.873485,car,car,True
drive_008,7,3,0.92635,van,truck,False
drive_008,8,5,0.871444,van,truck,False
drive_008,10,9,0.960485,bus,van,False
drive_008,11,1,0.808374,bus,bus,True
drive_008,14,14,0.936608,car,car,True
